Id,Title,Text
S500040,Перепис Англії та Уельсу 1911 року,"<b>Що є в переписі 1911 року?</b>
Зазвичай переписи, що проводились до цього, реєстрували наступну інформацію:
- Де жила особа
- Їх вік на час перепису
- Хто (які родичі) мешкали разом з ними
- Їх місце народження
- Заняття
- Деталі про будь-яких гостей дому у ніч перепису
- Деталі про слуг, що належали їм
Також, в залежності від особистих обставин, могла міститися додаткова інформація:
- Чи вони були найнятими працівниками чи самі наймали людей
- Точну інформацію про галузь виробництва чи послуг, де вони були залучені
- Деталі про національність
- Тривалість перебування у поточному шлюбі
- Кількість дітей народжених у цьому шлюбі
- Кількість живих дітей, та кількість дітей, що померли
- Дані про будь-яку хворобу чи стан кожного члена сім'ї та час коли це почалося
<b>Плодовитість шлюбу та дані про зайнятість</b>
У відгук на хвилювання уряду в ході перепису 1911 року також задавалися додаткові, більш специфічні питання дл?
? кожного помешкання, що стосувались дітонародження та виду діяльності.
<b>Перепис 1911 року та суфражистки</b>
Розчаровані відмовою уряду в наданні права голосу жінкам, велика кількість жінок бойкотувала перепис 1911 рок?
? відмовляючись від реєстрації. Було дві форми протесту. Перша, - жінки (або їх чоловіки) відмовлялиcь заповнюв?
?ти форму перепису, часто вписуючи свій протест в плані помешкань. В другому випадку, жінки уникали перепису з
алишивши свій дім на цілу ніч перепису, і таким чином не подавали свій протест до плану помешкань. В обох випа?
?ках, будь-які деталі стосовно кожної такої жінки з цих помешкань не попали у перепис. Для родинного історика,
відмова від заповнення форми (здійснено у вигляді заяви з протестом) що найменше підтверджує існування жінки
чи жінок у цьому помешканні. Але жінок, що уникали обліку залишаючи свій дім у ніч перепису, не можна жодним ч?
?ном відслідкувати у документах цього перепису. Точна кількість жінок, що бойкотували перепис є невідома, хоч
а дехто оцінює, що їх було порядком декількох тисяч.
Послуга DC Thomson Family History надана для членів MyHeritage за погодженням з Національним Архівом, Лондон."
S500041,Довідники міст США,"<p>Зведені записи в цій колекції часто розповідають глибшу історію про людину: Вони дозволяють досліднику діз
натися, коли людина одружилася чи розлучилася, а в деяких випадках визначають, коли помер голова домогоспода?
?ства або його дружина. Вони також допомагають відстежувати зміни на робочому місці чи професії та виявляти, ?
?оли людина переїхала з одного місця в інше.</p>
<p>Міські довідники, як і записи переписів населення, містять інформацію, яка допомагає дослідникам генеалогі
ї встановлювати місця проживання, професії та стосунки між людьми. Додатковою перевагою міських довідників ?
? те, що вони щорічно публікуються у багатьох містах та селищах США.</p>
<p>MyHeritage виправила помилки в оригінальних сканованих документах оптичного розпізнавання символів (OCR) сторін?
?к довідників, а потім застосувала декілька передових технологій, включаючи видобування записів, розпізнава?
?ня імен та умовні випадкові поля для розбору даних та виправлення помилок в оригінальному джерелі OCR сторіно
к довідників. Тренування моделі машинного навчання способам перетворення необроблених записів з довільним ?
?екстом на імена, професії та адреси дозволило створити структурований, пошуковий індекс цінної історичної і
нформації. Оптичне розпізнавання символів може видавати помилки в деяких записах, і використання машинного ?
?авчання для зчитування цих записів також може створювати помилки. Тому, як і з будь-якими генеалогічними зап?
?сами, користувачам рекомендується ознайомитися з оригінальними зображеннями та виправити будь-які помилки,
що можуть виявитись при видобуванні інформації до родинних дерев.</p>
<p>Записи в цій колекції датуються 1800 роками та є відмінним джерелом для створення повнішої картини життя род?
?ни у проміжку років між переписами населення. Особливо слід зазначити, що міські довідники заповнюють генеа?
?огічну прогалину, спричинену знищенням майже всіх графіків Федерального перепису населення США 1890 року. Пер
іод протягом 20 років між переписами населення 1880 р. та 1900 р. давно став проблемою в дослідженні родинної істор
ії, і довідники міст на MyHeritage за цей період служать важливою заміною переписів тих років.</p>
<p>Довідники міст вперше були опубліковані в США у 1785 році, а довідники з Філадельфії, Нью-Йорка, Бостона та Бал
тимора були видані до кінця 18 століття. Популярність цих довідників сильно зросла в 19 столітті й досягла свог
о зеніту в кінці 20 століття.</p>
<p>Видавці цих довідників наймали місцевих жителів для регулярного заповнення цих міст та містечок, щоб збира
ти та оновлювати дані, які вони містили у своїх публікаціях. Зібрана інформація дещо різниться залежно від ро
ку та видавця в міру розвитку такої практики. Наприклад, до початку 20 століття було звично знаходити переліче
ні імена померлих подружжя. Деякі видавці навіть збирали та публікували імена нещодавно померлих мешканців ?
? їх віком на момент смерті та повної дати смерті. Довідники міст найчастіше публікувалися під назвою основно
го міста, але часто містять ту саму інформацію про сусідні менші міста й селища.</p>
<p>Ця колекція незабаром буде оновлена, включаючи довідники до-1860, а також великий та унікальний набір довідни
ків, опублікованих після 1960.</p>"
S500042,"United States World War I Draft Registrations, 1917-1918","When the United States declared war on the German Empire on April 6, 1917 its standing army was comprised of approximately 100,000 men with another 115,000 in National Guard units. President Wilson im
mediately directed the Department of War to work to increase the army to a one million-man force. However, six weeks after war was declared only 73,000 new recruits had volunteered for military servic
e.
Military planners and political leaders had correctly anticipated the general apathy in the nation for the war effort at its onset and almost as soon as war was declared work began in the US Congress
to enact updated conscription legislation. Congress passed the Selective Service Act on May 18, 1917. This act authorized the federal government to raise a national army through compulsory enlistment.
The initial Selective Service Act required all men aged 21 to 30 to register. In August 1918, at the request of the War Department, Congress amended the law to expand the age range to include all men
aged 18 to 45.
Three specific registrations were conducted:
<ul><li>June 5, 1917. This first registration was for all men between the ages of 21 and 31.</li><li>June 5, 1918. The second registration was for those who had turned 21 after June 5, 1917 and a supp
lemental registration included in the second registration was held on August 24, 1918, for those who turned 21 years old after June 5, 1918.</li><li>September 12, 1918. The third, and final registrati
on was for all men aged 18 through 45 not previously enrolled.</li></ul>
By the end of the First World War, some 2 million men had volunteered for military service and 2.8 million other men had been drafted. Accordingly, a draft registration does not imply that the individ
ual ended up being drafted or that he didn’t volunteer separately.
The handwriting on the card is normally that of a registration board worker usually labeled the “registrar”. However, almost all cards contain the signature or “mark” in the handwriting of the
registrant himself."
S500043,"Ohio Death Index, 1913-1944, 1954-1963","Death certificates represent one of the key primary sources for family information, typically being issued within days of a death and having many details about a person's’ life. A copy of the death
certificate can be requested <a href=""http://resources.ohiohistory.org/death/request.php"" target=""_blank"">here</a>."
S500044,"Illinois, Northern District (Eastern Division), Naturalization Index, 1926-1979",""
S500045,Kotlenga,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Kotlenga</p>Родинне дерево: 87970684-1
S500046,"United States, Border Crossings from Canada, 1895-1956","The ports of entry included in this collection, by US state, are as follows:
<ul><li> Idaho: Eastport (1924-1956); Porthill (1923-1952)
</li><li> Maine: Vanceboro (1906-1952); Calais (1906-1952); Jackman (1909-1953)
</li><li> Michigan: Detroit (1906-1954)
</li><li> Minnesota: Noyes (1912-1956); Baudette, Warroad, and International Falls (1910-1923)
</li><li> Montana: Havre, Loring, Opheim, Raymond, Turner, Westby, and White Tail (1924-1956); Chief Mountain, Cut Bank, Del Bonita, Gateway, Great Falls, and Roosville (1923-1956); Babb (1928-1956)
</li><li> New York: Buffalo, Lewiston, Niagara Falls, and Rochester (1902-1954); Alexandria Bay, Cape Vincent, Champlain, Clayton, Fort Covington, Mooers, Rouses Point, Thousand Island Bridge, and Tro
ut River (1929-1956); Hogansburg, Malone, Morristown, Nyando, Odgensburg, Rooseveltown, and Waddington (1929-1956)
</li><li> North Dakota: Dunseith, Neche, Pembina, Saint John, and Walhalla (1912-1956); Ambrose, Antler, Carbury, Fortuna, Noonan, Northgate, Portal, Sherwood, and Westhope (1921-1952); Northgate and
Saint John (1910-1921)
</li><li> Vermont: St. Albans (1895-1952); Small ports in Vermont (1895-1924)</li></ul>
Comprised of the following NARA publications by order of frequency: M1461, M1480, M1478, M1463, A3460, A3448, M2071, M1462, A3447, M2042, A3491, A3386, M1481, M1482, M2046, A3462, A3560, A3479, A3490."
S500047,"U.S. Veterans Burial Sites, 1775 - 2013",""
S500048,Записи про Прийняття Громадянства США,"Bibliography: Naturalizations -- CA Southern. NARA M1524. Naturalization Petitions, Maryland. NARA M1640. Naturalization Index -- WWI Soldiers. NARA M1952. Naturalization Index -- NY Eastern. NARA M11
64. Naturalizations -- MD. NARA M1168. Naturalizations -- MA. NARA M1368. Naturalizations -- PA Eastern. NARA M1522. Naturalizations -- PA Western. NARA M1537. Naturalization Index -- MA. NARA M1545.
Naturalizations -- PA Middle. NARA M1626. Naturalization Index -- NYC Courts. NARA M1674. Naturalization Records of the U.S. Circuit Court for the Eastern District of Louisiana, New Orleans Division:
Petitions, 1838-1861. NARA P2233."
S500049,"Commonwealth War Graves, 1914-1921, 1939-1947","The records in this collection are provided as a free service to the public courtesy of the <a id="""" href=""https://www.cwgc.org/"" class=""green"">Commonwealth War Graves Commission</a>. The six member n
ations of the Commonwealth War Graves Commission (CWGC) are Australia, Canada, India, New Zealand, South Africa, and the United Kingdom."
