Id,Husb,Wife,Children
F500329,I500943,I500944,I501910|I501926|I501953|I501981|I501999|I500947|I500955
F500330,I500945,I500946,I500944|I511978
F500331,I500950,I500949,I500951|I500977
F500332,I500952,I500953,I500950|I500961|I501730|I511019|I501735
F500333,I500957,I500958,I501973|I500960|I500959|I500990
F500334,I500961,I500962,I501636|I500965|I507013
F500335,I500963,I500964,I500962
F500336,I500967,I500968,I508266|I500902
F500337,I500970,I500971,I501410|I500974|I506821|I501556
F500338,I500972,I500973,I500971|I501545|I535377|I501076|I501132|I501236|I501408|I506524|I502316|I506865
F500339,I500979,I500978,I502054|I500980|I507051|I502144
F500340,I500984,I500985,I502050|I502053|I501003|I500986
F500341,I500987,I500988,I503101|I511406|I511365|I503135|I511261|I18|I511285|I523216|I511357
F500342,I500866,I500992,I501862
F500343,I500996,I500995,I500997|I502048|I501687|I501708|I502581|I502064
F500344,I500998,I500999,I500996
F500347,I501006,I501005,I507028|I501108|I501195
F500350,I501012,I501013,I500979|I501376|I501017
F500351,I501014,I501015,I501518|I501016|I501086
F500352,I501017,I501018,I502138|I501019|I535073
F500353,I501020,I501021,I501018|I501598|I501180
F500354,I501023,I501022,I502353|I501024|I501139
F500355,I501025,I501026,I501023|I501102|I501083
F500356,I501028,I501027,I501031|I501122|I501204|I501453|I502314
F500357,I501029,I501030,I501120|I501028|I501295|I501162|I501269|I501550|I502696
F500358,I501032,I501033,I524824|I523230|I501386|I500086|I501034|I501046|I506751
F500359,I501034,I501035,I501036
F500360,I501036,I501037,I502145|I501038|I501141|I501201|I535030|I503138|I502265
F500361,I501039,I501040,I501037|I501148|I501320|I501170|I501300|I501233
F500362,I501042,I501041,I501043|I501140|I501214|I534084|I506573|I506833|I502342
F500363,I501044,I501045,I501042|I501093
F500364,I501046,I501047,I501053|I501048
F500365,I501048,I501049,I501058|I501129|I501153|I501050|I506519|I506670|I502263|I501504
F500366,I501051,I501052,I501250|I501288|I501049|I501196
F500367,I501053,I501054,I501057
F500368,I501055,I501056,I501116|I501187|I501119|I501069|I501054|I500557|I506595
F500369,I501060,I501059,I503238|I506530|I501063|I506886
F500370,I501061,I501062,I501060|I506857
F500371,I501064,I501065,I500415
F500372,I501066,I501067,I500416
F500373,I501069,I501070,I501071|I501072|I535142|I501364|I501363|I506614|I506787|I507004
F500374,I501074,I501075,I503456|I507133|I503732|I500425|I503109|I501789|I501011|I501808
F500375,I501077,I501078,I500972
F500376,I501079,I501080,I500973
F500377,I501081,I501082,I501143|I501070|I506640
F500378,I501084,I501083,I507871|I501085|I506677|I507005
F500379,I501087,I501088,I501089|I501258|I506599
F500380,I501090,I501091,I501088
F500381,I501093,I501094,I501097|I501098|I501213|I501427|I506598|I506788|I506998
F500382,I501095,I501096,I501094
F500383,I501100,I501099,I502205|I535173|I501192
F500384,I501101,I501193,I501100|I501228
F500385,I501102,I501103,I502192|I501104|I501161|I501261
F500386,I501105,I501106,I502706|I501264|I501103|I501419
F500387,I501110,I501111,I501740|I501006|I501182|I501248|I501112|I501537|I535024
F500388,I501112,I501113,I501109|I502323
F500389,I501114,I501115,I501237|I501247|I501113|I502269|I501506|I506758|I507050
F500390,I501116,I501117,I501216|I501566|I501128|I501118|I535014
F500391,I501119,I501120,I507045|I517641|I501121|I501181|I501333|I506714|I506924|I501517
F500392,I501123,I501124,I500506
F500393,I501126,I501127,I501029|I501117|I501287|I501393
F500394,I501130,I501131,I501015
F500396,I501134,I501135,I501356|I501565|I502663|I502219|I502664|I501138
F500397,I501136,I501137,I501135
F500398,I501143,I501144,I501147|I501202|I501426|I506518|I506563|I506673|I502257|I506969|I501527
F500399,I501145,I501146,I501175|I501167|I507874|I501144|I501308
F500400,I501148,I501149,I535124|I501152|I501263|I506504|I502313|I506764|I506993
F500401,I501150,I501151,I501476|I501149|I501412|I506594|I506536|I506716|I501511
F500403,I501157,I501158,I500393
F500404,I501159,I501160,I500394
F500405,I501163,I501162,I501164|I501463|I506543
F500406,I501165,I501166,I501298|I501168|I501163|I501215|I501411
F500407,I501167,I501168,I502186|I535176|I501169|I501362|I506549
F500408,I501171,I501170,I535106|I501174|I506606|I506775
F500409,I501172,I501173,I501251|I501366|I502217|I501171|I501205|I506639|I501606|I502277
F500410,I501176,I501175,I501607|I535177|I501179|I501375
F500411,I501177,I501178,I501176
F500412,I501183,I501182,I501469|I507068|I517634|I535154|I502227|I501186
F500414,I501188,I501187,I501328|I501305|I501586|I517605|I501189
F500415,I501190,I501191,I501188|I501458
F500416,I501197,I501196,I502687|I502224|I501200
F500417,I501198,I501199,I502223|I501197|I501315|I501558|I501403
F500418,I501205,I501206,I501209|I501428
F500419,I501207,I501208,I501206
F500420,I501210,I501211,I535192|I535119|I501212|I502324
F500421,I501215,I501216,I501217|I501424|I502315|I506801|I506937|I507083
F500422,I501218,I501219,I506521|I535222|I502705|I501222
F500423,I501220,I501221,I501219
F500424,I501223,I501224,I501227|I535029|I501505
F500425,I501225,I501226,I501224|I508210
F500426,I501228,I501229,I535140|I501230|I506515|I506615|I506871|I507041
F500427,I501231,I501232,I507109|I501229
F500428,I501234,I501233,I501235|I506527|I506603|I506927|I501563
F500429,I501237,I501238,I502691|I535187|I535078|I501241|I501350|I501447|I502319|I506721|I502286|I501373
F500430,I501239,I501240,I501653|I501238|I501455|I501547|I502147
F500431,I501243,I501242,I501244
F500433,I501247,I501248,I502686|I501249
F500434,I501250,I501251,I506755|I502309|I501252|I502325
F500435,I501253,I501254,I517591|I501257
F500436,I501255,I501256,I501319|I501334|I501254|I517625|I501290
F500437,I501264,I501265,I502679|I535193|I501268|I506538
F500438,I501266,I501267,I502214|I502181|I501937|I501265|I502003|I502039
F500439,I501270,I501269,I501273|I506698|I506904|I501554
F500440,I501271,I501272,I501365|I502346|I501270|I501415
F500441,I501275,I501276,I500508|I501454
F500442,I501279,I501280,I501281
F500443,I501283,I501282,I501286|I506601|I506920|I507071
F500444,I501284,I501285,I501351|I501283|I506685
F500445,I501287,I501288,I506771|I506790|I517663|I501289
F500446,I501291,I501290,I501292|I502374|I506812|I501601
F500447,I501293,I501294,I501291|I507065|I502337|I503540
F500448,I501295,I501296,I501299|I506498|I506560|I506737|I506939|I501591
F500449,I501297,I501298,I501296|I502291|I535144
F500450,I501301,I501300,I535075|I501304|I506583
F500451,I501302,I501303,I501482|I502236|I501301|I501398
F500452,I501306,I501305,I501307|I501532
F500453,I501309,I501310,I501306|I501337|I500423
F500454,I501308,I501311,I501314|I501474|I506585
F500455,I501312,I501313,I501311|I501540|I506741|I517613|I535126|I506492
F500456,I501316,I501315,I507877|I502312|I535005|I535006|I506487|I506579
F500457,I501317,I501318,I501316|I535168
F500458,I501319,I501320,I535342|I502303|I501321|I506628|I501555
F500460,I501325,I501326,I501324
F500461,I501328,I501329,I501332|I506822|I506902|I506980|I501564
F500462,I501330,I501331,I506493|I501329|I502157
F500463,I501334,I501335,I535212|I535086|I501336|I506545|I506705|I506891|I501533
F500464,I501338,I501337,I501341|I506557|I502331|I502266|I501516
F500465,I501339,I501340,I501338|I506791
F500466,I501343,I501342,I501344|I506642
F500467,I501345,I501346,I506586|I501343|I502320
F500468,I501348,I501349,I501183|I500572
F500469,I501352,I501351,I502198|I501663|I501355|I506736|I501662
F500470,I501353,I501354,I501352|I506661|I502334|I502321|I506922|I501568
F500471,I501357,I501356,I502633|I501360|I502635|I502634|I506954|I501557
F500472,I501358,I501359,I501357
F500473,I501365,I501366,I506941|I502204|I502308|I501367
F500474,I501368,I501369,I507016|I501372
F500475,I501370,I501371,I501369
F500476,I501376,I501377,I502213|I501378|I506544|I506666
F500477,I501380,I501379,I507036|I501384|I501385|I501383
F500478,I501381,I501382,I500048|I500399|I501734|I501719|I501624|I501380
F500479,I501386,I501387,I501388
F500480,I501388,I501389,I502288|I501390|I501391|I501392|I506457|I506467|I506658
F500481,I501393,I501394,I502355|I517604|I502301|I501397|I506882
F500482,I501395,I501396,I502178|I501394|I501448
F500483,I501399,I501398,I502241|I501402|I506578|I506794|I506916|I501652
F500484,I501400,I501401,I501399|I501501
F500485,I501404,I501403,I501405
F500486,I501406,I501407,I501404
F500487,I501412,I501411,I501413|I506644|I506708|I506981
F500488,I501415,I501054,I501416
F500489,I501420,I501419,I535191|I501423
F500490,"",I501421,I501420
F500491,I501425,"",I501165|I501271
F500492,I501695,I501431,I510704|I501430|I508178|I512342
F500494,I501434,I501435,I500096|I501631|I501495|I513569|I501073|I501780
F500495,I501436,I501437,I501438
F500496,I501433,I501439,I501519|I501630|I501442
F500501,I501444,I501445,I503996|I501446
F500502,I501781,I501430,I501520|I503747|I501783|I501433|I501824
F500503,I501449,I501448,I535354|I501667|I501666|I501450|I506555
F500504,I501451,I501452,I501449
F500505,I501454,I501455,I501456|I507022
F500506,I501458,I501459,I501460|I506597|I506849|I506850|I501681
F500507,I501461,I501462,I501459|I535334
F500508,I501464,I501465,I502146|I535127|I501466
F500509,I501467,I501468,I502187|I501465
F500510,I501470,I501469,I501473|I506604|I506825
F500511,I501471,I501472,I506499|I506569|I501470|I506709
F500512,I501477,I501476,I535186|I535076|I501480|I502332|I506774|I535035
F500513,I501478,I501479,I506505|I502305|I501477|I501575
F500514,I501482,I501483,I502152|I535183|I535079|I501486|I506659
F500515,I501484,I501485,I502179|I501483|I501602
F500516,I501487,I501488,I501491|I502318|I506777
F500517,I501489,I501490,I501958|I510919|I502070|I501488|I502098
F500518,I501494,I501493,I501497|I502327
F500519,I501495,I501496,I501795|I501751|I501792|I501818|I501377|I501494|I501961|I501538
F500520,I501501,I501502,I535011|I501503|I506633|I506859
F500521,I501506,I501507,I506600|I506827|I501508
F500522,I501509,I501510,I506547|I501507
F500523,I501512,I501511,I506828|I506925|I501513
F500524,I501514,I501515,I501512
F500525,I501520,I501521,I502038|I502061|I510640|I510641|I501524
F500526,I501522,I501523,I501729|I501521|I501800|I501843
F500527,I501518,I501519,I501525
F500528,I501308,I501528,I506915|I501529
F500529,I501530,I501531,I501528
F500530,I501535,I501536,I500562|I507674|I503206|I503208|I503209|I503210
F500531,I501537,I501538,I506575|I506697|I501539
F500532,I501541,I501540,I506554|I503139|I506952|I501544
F500533,I501542,I501543,I502363|I501541|I502166
F500534,I501163,I501545,I506660|I506800|I506879|I507003|I501546
F500535,I501547,I501548,I501549
F500536,I501550,I501551,I501552
F500537,I501559,I501558,I535074|I506460|I506562|I506830|I501562
F500538,I501560,I501561,I501559|I502233|I506510
F500539,I501565,I501566,I502258|I501567
F500540,I501569,I501568,I501573|I501572|I506602|I506789|I501574
F500541,I501570,I501571,I501569
F500542,I501576,I501575,I501580|I506715|I501579
F500543,I501577,I501578,I501576
F500544,I501581,I501582,I501583|I535201|I535103|I535048|I506479|I506577|I503867|I506878|I501592
F500545,I501584,I501585,I501582|I506623|I506535
F500546,I501586,I501587,I506848|I501588
